Name,Address,Phone,Email,Website,Google Maps Link
Maçka İşkembe,"Yenişehir, Demokrasi Cd. No:74, 41050 İzmit/Kocaeli",(0262) 313 00 11,info@macka.com.tr,http://www.macka.com.tr/,https://www.google.com/maps/place/%C4%B0ntiba+D%C3%B6ner+-+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f8ba9fa58c7:0xe62851d5e7327ad0!8m2!3d40.7629711!4d29.9478727!16s%2Fg%2F11by_ldj2t!19sChIJx1j6qYtPyxQR0Hoy59VRKOY?authuser=0&hl=tr&rclk=1
Basol Et Kasap Steak house,"Sanayi, Ömer Türkçakal Blv. No:99, 41040 İzmit/Kocaeli",(0262) 333 01 41,,http://www.basolsteakhouse.com/,https://www.google.com/maps/place/Mert+Abinin+Yeri+%28+Hamburger+%26+Taco+%29/data=!4m7!3m6!1s0x14c0600db4e4d633:0x6c2296ed85bcd9b1!8m2!3d40.7749207!4d29.9783834!16s%2Fg%2F11f1zlf2km!19sChIJM9bktA1gwBQRsdm8he2WImw?authuser=0&hl=tr&rclk=1
Basol Et Kasap Steak house,"Sanayi, Ömer Türkçakal Blv. No:99, 41040 İzmit/Kocaeli",(0262) 333 01 41,,http://www.basolsteakhouse.com/,https://www.google.com/maps/place/Ma%C3%A7ka+%C4%B0%C5%9Fkembe/data=!4m7!3m6!1s0x14cb4ff07dc91143:0x9af16d88cbc1dcf8!8m2!3d40.763416!4d29.962055!16s%2Fg%2F1q66xsn89!19sChIJQxHJffBPyxQR-NzBy4ht8Zo?authuser=0&hl=tr&rclk=1
KÖZZ Ocakbaşı İzmit,"Sabancı Kültür Merkezi Yanı, Ömerağa, Oramiral Salim Dervişoğlu Cd. No:6, 41200 İzmit/Kocaeli",(0262) 322 79 70,,N/A,https://www.google.com/maps/place/Basol+Et+Kasap+Steak+house/data=!4m7!3m6!1s0x14cb45139148419b:0xd6dfe129f83c8177!8m2!3d40.739849!4d29.9440983!16s%2Fg%2F11c1tjbjgj!19sChIJm0FIkRNFyxQRd4E8-Cnh39Y?authuser=0&hl=tr&rclk=1
Yeşildağlar Et Yahya Kaptan,"Yahyakaptan, Şht. Ergün Köncü Sk. no:69 D:1, 41001 İzmit/Kocaeli",(0262) 311 43 46,,N/A,https://www.google.com/maps/place/Pizzak%C3%B6y+%C4%B0zmit+Yahyakaptan+%C5%9Eubesi/data=!4m7!3m6!1s0x14cb4fbdebb50811:0x5d39992d80cc9879!8m2!3d40.7634751!4d29.9609037!16s%2Fg%2F11t9q59cdq!19sChIJEQi1671PyxQReZjMgC2ZOV0?authuser=0&hl=tr&rclk=1
"Refiye Restoran - Cağ Kebap , Izgara , Serpme Kahvaltı , İzmit","Yahyakaptan, Kara Yolu Cd. No:21/B, 41050 İzmit/Kocaeli",(0262) 333 11 12,,https://www.refiyerestaurant.com/,https://www.google.com/maps/place/K%C3%96ZZ+Ocakba%C5%9F%C4%B1+%C4%B0zmit/data=!4m7!3m6!1s0x14cb5aaafe7925c3:0xad0088aef5464827!8m2!3d40.760711!4d29.9299!16s%2Fg%2F1tglw9gw!19sChIJwyV5_qpayxQRJ0hG9a6IAK0?authuser=0&hl=tr&rclk=1
Tavacı Recep Usta Kocaeli,"Self Office, Yenişehir, Konak Sk. 19C, 41050 İzmit/Kocaeli",0533 571 75 41,,N/A,https://www.google.com/maps/place/Ye%C5%9Filda%C4%9Flar+Et+Yahya+Kaptan/data=!4m7!3m6!1s0x14cb4fec44e5d45b:0xf5caa31f17c741c9!8m2!3d40.7732625!4d29.9706938!16s%2Fg%2F11mw8h181f!19sChIJW9TlROxPyxQRyUHHFx-jyvU?authuser=0&hl=tr&rclk=1
Beyaz Yalı,"Kemalpaşa, Oramiral Salim Dervişoğlu Cd. No:62, 41300 İzmit/Kocaeli",0545 190 10 10,,N/A,"https://www.google.com/maps/place/Refiye+Restoran+-+Ca%C4%9F+Kebap+,+Izgara+,+Serpme+Kahvalt%C4%B1+,+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f5acc34e273:0x75da875d03438e1f!8m2!3d40.7798403!4d29.9727987!16s%2Fg%2F11g1qj706h!19sChIJc-I0zFpPyxQRH45DA12H2nU?authuser=0&hl=tr&rclk=1"
Kare Restaurant,"Yenişehir, Adnan Menderes Blv. No:8/1, 41100 İzmit/Kocaeli",(0262) 335 50 80,,N/A,https://www.google.com/maps/place/Tavac%C4%B1+Recep+Usta+Kocaeli/data=!4m7!3m6!1s0x14cb4fe4d2ec8285:0xfcb02d074f011551!8m2!3d40.7655862!4d29.9665036!16s%2Fg%2F11y63twf6g!19sChIJhYLs0uRPyxQRURUBTwctsPw?authuser=0&hl=tr&rclk=1
MehmET kebap ciğer,"Yenişehir, Dönmez Sk. No:40, 41050 İzmit/Kocaeli",0537 795 56 66,,N/A,https://www.google.com/maps/place/Beyaz+Yal%C4%B1/data=!4m7!3m6!1s0x14cb4f843ba5717d:0xef0f60f162eb1989!8m2!3d40.7608242!4d29.9195754!16s%2Fg%2F11g7v6v3yr!19sChIJfXGlO4RPyxQRiRnrYvFgD-8?authuser=0&hl=tr&rclk=1
