Name,Address,Phone,Email,Website,Google Maps Link
Fethiye Sürücü Kursu - izmit sürücü kursu,"Tepecik, Fethiye Cd. No:29, 41200 İzmit/Kocaeli",(0262) 323 77 70,ajax-loader@2x.gif,http://www.fethiyesurucukursu.com/,https://www.google.com/maps/place/%C3%96zel+Tar%C4%B1k+%C5%9Eirin+SRC+Psikoteknik/data=!4m7!3m6!1s0x14cb4f80f36b0ecd:0x35b743f5dc8f8458!8m2!3d40.7722457!4d29.9518991!16s%2Fg%2F11hyspkh1p!19sChIJzQ5r84BPyxQRWISP3PVDtzU?authuser=0&hl=tr&rclk=1
Başiskele Belediyesi Neşet Ertaş Müzik Okulu,"Aydınkent, Hacı Mecit Blv. No:39, 41190 Başiskele/Kocaeli",,,N/A,https://www.google.com/maps/place/Fethiye+S%C3%BCr%C3%BCc%C3%BC+Kursu+-+izmit+s%C3%BCr%C3%BCc%C3%BC+kursu/data=!4m7!3m6!1s0x14cb45804b91f995:0x8565b4c5b1af23b6!8m2!3d40.764503!4d29.926035!16s%2Fg%2F113gtv63g!19sChIJlfmRS4BFyxQRtiOvscW0ZYU?authuser=0&hl=tr&rclk=1
Sabancı Mesleki ve Teknik Anadolu Lisesi,"Alikahya Fatih, Fatma Seher Hanım Cd. No:1, 41310 İzmit/Kocaeli",(0262) 319 25 62,,https://www.instagram.com/p/CQwInGzoD8A/,https://www.google.com/maps/place/Bemol+Piyano+Okulu/data=!4m7!3m6!1s0x14cb4f1f05213e5d:0x4b3b420cca4556fe!8m2!3d40.7703481!4d29.9686824!16s%2Fg%2F11hyjmn5mw!19sChIJXT4hBR9PyxQR_lZFygxCO0s?authuser=0&hl=tr&rclk=1
Gölcük 15 Temmuz Şehitleri Mesleki ve Teknik Anadolu Lisesi,"Yeni, Ali İhsan Paşa Cd. No:30, 41650 Gölcük/Kocaeli",(0262) 422 01 22,,https://golcuk15temmuzsehitlerimtal.meb.k12.tr/,https://www.google.com/maps/place/Sabanc%C4%B1+Mesleki+ve+Teknik+Anadolu+Lisesi/data=!4m7!3m6!1s0x14cb503cb5cf975d:0xb0d4c7ac8a5cd48b!8m2!3d40.7718796!4d29.9857415!16s%2Fg%2F1vvmm87q!19sChIJXZfPtTxQyxQRi9RciqzH1LA?authuser=0&hl=tr&rclk=1
Anıtpark Yerleşkesi,"Cedit, Atatürk Blv., 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Ba%C5%9Fiskele+Belediyesi+Ne%C5%9Fet+Erta%C5%9F+M%C3%BCzik+Okulu/data=!4m7!3m6!1s0x14cb451788935373:0x579254eafc2d2648!8m2!3d40.7078836!4d29.948485!16s%2Fg%2F11k3nxcbgs!19sChIJc1OTiBdFyxQRSCYt_OpUklc?authuser=0&hl=tr&rclk=1
Bahçecik Ortaokulu,"Kılıçarslan, Hürriyet Cd. No:163 No 163, 41030 Başiskele/Kocaeli",(0262) 342 42 44,,http://bahcecikortaokulu.meb.k12.tr/tema/index.php,https://www.google.com/maps/place/G%C3%B6lc%C3%BCk+15+Temmuz+%C5%9Eehitleri+Mesleki+ve+Teknik+Anadolu+Lisesi/data=!4m7!3m6!1s0x14cb40ea6ec215af:0x99c73709638b41eb!8m2!3d40.7051137!4d29.8164104!16s%2Fg%2F11gbkxsjll!19sChIJrxXCbupAyxQR60GLYwk3x5k?authuser=0&hl=tr&rclk=1
Özel İzmit Kavram Anadolu Lisesi,"Ömer Ağa Mah. Alemdar Caddesi, M. Levent Ersoy Sk. No:6, 41000 İzmit/Kocaeli",(0262) 331 85 84,,N/A,https://www.google.com/maps/place/An%C4%B1tpark+Yerle%C5%9Fkesi/data=!4m7!3m6!1s0x14cb4f889a943e53:0x5b64ffc613c03a4f!8m2!3d40.7659976!4d29.9397674!16s%2Fg%2F11b7hps0jc!19sChIJUz6UmohPyxQRTzrAE8b_ZFs?authuser=0&hl=tr&rclk=1
Mehmet Akif Ersoy Kız Anadolu İmam Hatip Lisesi,"Tepeköy, Zümra Sokak No:3, 41060 İzmit/Kocaeli",(0262) 324 30 13,,http://www.izmitmakifihl.k12.tr/,https://www.google.com/maps/place/Bah%C3%A7ecik+Ortaokulu/data=!4m7!3m6!1s0x14cb438ddac3b547:0xc5784c1c2ddf879!8m2!3d40.6728384!4d29.911672!16s%2Fg%2F11dfgsh7c0!19sChIJR7XD2o1DyxQRefjdwsGEVww?authuser=0&hl=tr&rclk=1
American LIFE Teenglish İzmit 3-14 Yaş Çocuklar İçin Yabancı Dil Kursu,"Ömerağa, Şahabettin Bilgisu Cd. No:71, 41300 İzmit/Kocaeli",(0262) 321 00 99,"chosen-sprite@2x.png, izmit@teenglish.com.tr, flags@2x.png",https://www.americanlife.com.tr/cocuk-izmit/,https://www.google.com/maps/place/%C3%96zel+%C4%B0zmit+Kavram+Anadolu+Lisesi/data=!4m7!3m6!1s0x14cb45a9927be03b:0x1ea1f2b870cf5d31!8m2!3d40.7626924!4d29.9285037!16s%2Fg%2F11clvw0bsv!19sChIJO-B7kqlFyxQRMV3PcLjyoR4?authuser=0&hl=tr&rclk=1
Vali İhsan Dede İlkokulu,"Karadenizliler, Yoncalı Sk. No:2, 41140 Başiskele/Kocaeli",(0262) 349 31 36,,N/A,https://www.google.com/maps/place/Mehmet+Akif+Ersoy+K%C4%B1z+Anadolu+%C4%B0mam+Hatip+Lisesi/data=!4m7!3m6!1s0x14cb4e2bd39c2fbd:0x150e737b79ce3b95!8m2!3d40.7960722!4d29.971138!16s%2Fg%2F11cjnp277h!19sChIJvS-c0ytOyxQRlTvOeXtzDhU?authuser=0&hl=tr&rclk=1
