Name,Address,Phone,Email,Website,Google Maps Link
EMRE OTOMOTİV,"Sanayi, SANAYİ SİTESİ D:207.BLOK NO:63, 41040 İzmit/Kocaeli",0539 925 24 02,,N/A,https://www.google.com/maps/place/Acar+Oto+Elektrik+-+Ramazan+Acar/data=!4m7!3m6!1s0x14cb4f94f9856835:0xf62c7f7f98304666!8m2!3d40.7457052!4d29.9483183!16s%2Fg%2F1tfq1pcs!19sChIJNWiF-ZRPyxQRZkYwmH9_LPY?authuser=0&hl=tr&rclk=1
Murat Oto Yıkama,"Körfez Sanayi Sitesi 5. Blok D:17, İzmit Merkez, İzmit, Kocaeli (İzmit)",(0262) 335 19 60,,N/A,https://www.google.com/maps/place/Damla+Oto+Y%C4%B1kama/data=!4m7!3m6!1s0x14cb516b683520d5:0x677aa2208cb68e07!8m2!3d40.7652658!4d30.0026532!16s%2Fg%2F11j2vbm5zv!19sChIJ1SA1aGtRyxQRB462jCCiemc?authuser=0&hl=tr&rclk=1
Keskinler otomotiv Hyundai kıa servis,"Yeni Gölcük yolu, Köroğlu Cd. üzeri sanayi giriş karşısı no28, 41190 Başiskele/Kocaeli",0530 212 09 13,bootstrap@3.3.7,https://birmilyonnokta.com/firmalar/keskinler-oto,https://www.google.com/maps/place/EMRE+OTOMOT%C4%B0V/data=!4m7!3m6!1s0x14cb45cae390df05:0x4110b03f011055e6!8m2!3d40.7450845!4d29.949492!16s%2Fg%2F11vprj4_n7!19sChIJBd-Q48pFyxQR5lUQAT-wEEE?authuser=0&hl=tr&rclk=1
İkiz,"Sepetlipınar, Küçük Sanayi Sitesi No:13, 41275 Başiskele/Kocaeli",,,N/A,https://www.google.com/maps/place/Murat+Oto+Y%C4%B1kama/data=!4m7!3m6!1s0x14cb4ffd0f6debfb:0x9d780af49a984028!8m2!3d40.7608675!4d29.9719575!16s%2Fg%2F1ptxxwfm4!19sChIJ--ttD_1PyxQRKECYmvQKeJ0?authuser=0&hl=tr&rclk=1
Çavuşoğlu Karoser Kaporta-Boya Servisi,"Vezirçiftliği, Nane Çiçeği Sk., 41140 Başiskele/Kocaeli",,,N/A,https://www.google.com/maps/place/Keskinler+otomotiv+Hyundai+k%C4%B1a+servis/data=!4m7!3m6!1s0x14cb45f7ad8090e9:0x1dabafffa0aa6d28!8m2!3d40.7452288!4d29.957074!16s%2Fg%2F11sz70k05h!19sChIJ6ZCArfdFyxQRKG2qoP-vqx0?authuser=0&hl=tr&rclk=1
PETLAS-Kocaeli Rot Balans,"KÖRFEZ SANAYİ SİT. 5. BLOK NO:39, 41000 İzmit/Kocaeli",(0262) 335 39 84,,https://www.petlas.com.tr/,https://www.google.com/maps/place/%C4%B0kiz/data=!4m7!3m6!1s0x14cb47b1530ef06b:0xeb5743b0b600e85d!8m2!3d40.7176355!4d29.8616911!16s%2Fg%2F11hzyn6zsx!19sChIJa_AOU7FHyxQRXegAtrBDV-s?authuser=0&hl=tr&rclk=1
AYDIN AKARYAKIT EKİPMANLARI,"mahallı, Karadenizliler, Elmalı Sk., 41040 Başiskele/Kocaeli",0532 336 85 96,,N/A,https://www.google.com/maps/place/%C3%87avu%C5%9Fo%C4%9Flu+Karoser+Kaporta-Boya+Servisi/data=!4m7!3m6!1s0x14cb4543956c2497:0x25565eac948678ce!8m2!3d40.7456445!4d29.9553329!16s%2Fg%2F11gwmhn2gw!19sChIJlyRslUNFyxQRzniGlKxeViU?authuser=0&hl=tr&rclk=1
Yavuz Oto Kaporta Boya,"Vezirçiftliği, Ali aygün sk. Doğu Sanayi No:176 Başiskele/Kocaeli D-130 Karayolu Caddesi, Vezirçiftliği, Doğu Sanayi No:176, 41140 Başiskele/Kocaeli",0554 863 96 82,,N/A,https://www.google.com/maps/place/PETLAS-Kocaeli+Rot+Balans/data=!4m7!3m6!1s0x14cb459c1591c27d:0x3a86c07cd1605749!8m2!3d40.746131!4d29.947295!16s%2Fg%2F11fhz17qd6!19sChIJfcKRFZxFyxQRSVdg0XzAhjo?authuser=0&hl=tr&rclk=1
Zafer Oto Yıkama,"Mahmutpaşa, Mahmutpaşa Cd No:45, 41140 Başiskele/Kocaeli",,,N/A,https://www.google.com/maps/place/AYDIN+AKARYAKIT+EK%C4%B0PMANLARI/data=!4m7!3m6!1s0x14cb456b775d94eb:0xc6af71affc2520f2!8m2!3d40.7466905!4d29.9617355!16s%2Fg%2F11k9f3zr4z!19sChIJ65Rdd2tFyxQR8iAl_K9xr8Y?authuser=0&hl=tr&rclk=1
Göçükçü Levent,"Sanayi, Fevzi Çakmak Cd. No:113/B, 41420 İzmit/Kocaeli",0553 891 54 41,,N/A,https://www.google.com/maps/place/Yavuz+Oto+Kaporta+Boya/data=!4m7!3m6!1s0x14cb458eab39cda7:0x4036abc5544a32f5!8m2!3d40.7429748!4d29.9557156!16s%2Fg%2F11nfs_3_v_!19sChIJp805q45FyxQR9TJKVMWrNkA?authuser=0&hl=tr&rclk=1
